,Year,Quater,Transaction_type,Total_Transaction,Transaction_amount,state_name
171,2020,3,Merchant payments,20664887,12554589575.504852,Tamil Nadu
172,2020,3,Recharge & bill payments,17521756,7476952307.406668,Tamil Nadu
173,2020,3,Financial Services,129671,158512062.54590106,Tamil Nadu
174,2020,3,Others,207434,90281020.15995154,Tamil Nadu
175,2020,4,Peer-to-peer payments,47800741,172196381789.491,Tamil Nadu
176,2020,4,Merchant payments,41297305,24417758781.65223,Tamil Nadu
177,2020,4,Recharge & bill payments,21563946,9462546013.163391,Tamil Nadu
178,2020,4,Financial Services,153044,186775413.14290395,Tamil Nadu
179,2020,4,Others,364665,209735503.54521424,Tamil Nadu
180,2018,1,Recharge & bill payments,3308548,646028338.3951533,Tamil Nadu
181,2018,1,Peer-to-peer payments,2670613,10031518934.085688,Tamil Nadu
182,2018,1,Merchant payments,326510,272002057.1736871,Tamil Nadu
183,2018,1,Financial Services,115363,31876073.74792233,Tamil Nadu
184,2018,1,Others,305588,280132294.11422664,Tamil Nadu
185,2018,2,Recharge & bill payments,4464677,1189892955.8051775,Tamil Nadu
186,2018,2,Peer-to-peer payments,4433762,18067624388.09562,Tamil Nadu
187,2018,2,Merchant payments,627918,517130320.4660308,Tamil Nadu
188,2018,2,Financial Services,167035,65402385.25640666,Tamil Nadu
189,2018,2,Others,298736,285794226.64323723,Tamil Nadu
190,2018,3,Peer-to-peer payments,8810836,26792462660.044968,Tamil Nadu
191,2018,3,Recharge & bill payments,5148411,1521551955.205038,Tamil Nadu
192,2018,3,Merchant payments,1290978,733189649.5729834,Tamil Nadu
193,2018,3,Financial Services,191732,37049222.36590697,Tamil Nadu
194,2018,3,Others,332121,245838753.995272,Tamil Nadu
195,2018,4,Peer-to-peer payments,11538547,39180083690.57276,Tamil Nadu
196,2018,4,Recharge & bill payments,7093764,2020329567.8245385,Tamil Nadu
197,2018,4,Merchant payments,3145621,1742903221.432857,Tamil Nadu
198,2018,4,Financial Services,228398,46571758.68242933,Tamil Nadu
199,2018,4,Others,451114,312185737.38152075,Tamil Nadu
200,2022,1,Peer-to-peer payments,7913,48590864.56835763,Lakshadweep
201,2022,1,Recharge & bill payments,5334,2322580.1695599537,Lakshadweep
202,2022,1,Merchant payments,3048,3838358.3586293925,Lakshadweep
203,2022,1,Financial Services,39,38274.22628876488,Lakshadweep
204,2022,1,Others,63,149355.3310943247,Lakshadweep
205,2022,2,Peer-to-peer payments,8491,48451728.04746901,Lakshadweep
206,2022,2,Recharge & bill payments,5366,2386144.714677198,Lakshadweep
207,2022,2,Merchant payments,3602,4895657.060086848,Lakshadweep
208,2022,2,Financial Services,59,87127.8249489804,Lakshadweep
209,2022,2,Others,51,108944.34272364664,Lakshadweep
210,2022,3,Peer-to-peer payments,7533,40029003.82575238,Lakshadweep
211,2022,3,Recharge & bill payments,4441,1936538.3067545425,Lakshadweep
212,2022,3,Merchant payments,3142,5469200.646094429,Lakshadweep
213,2022,3,Financial Services,64,63629.88416689246,Lakshadweep
214,2022,3,Others,61,81636.9547320153,Lakshadweep
215,2022,4,Peer-to-peer payments,8686,47450386.0033243,Lakshadweep
216,2022,4,Recharge & bill payments,4557,2024739.1542023947,Lakshadweep
217,2022,4,Merchant payments,3819,5250991.002376802,Lakshadweep
218,2022,4,Financial Services,35,26453.0247779254,Lakshadweep
219,2022,4,Others,50,61304.43025482374,Lakshadweep
220,2019,1,Peer-to-peer payments,1183,8221402.368536929,Lakshadweep
221,2019,1,Recharge & bill payments,1173,353870.52398354514,Lakshadweep
222,2019,1,Merchant payments,113,183062.1455975621,Lakshadweep
223,2019,1,Others,12,27795.441220958,Lakshadweep
224,2019,2,Recharge & bill payments,1448,436735.1684614296,Lakshadweep
225,2019,2,Peer-to-peer payments,1318,8602732.117788196,Lakshadweep
226,2019,2,Merchant payments,137,190716.5411561734,Lakshadweep
227,2019,2,Others,23,12340.30958308919,Lakshadweep
228,2019,3,Recharge & bill payments,1528,503049.2411913635,Lakshadweep
229,2019,3,Peer-to-peer payments,1455,8923273.862948446,Lakshadweep
230,2019,3,Merchant payments,111,215159.68119447335,Lakshadweep
231,2019,3,Others,10,10278.678434187355,Lakshadweep
232,2019,4,Recharge & bill payments,1801,618155.9004644766,Lakshadweep
233,2019,4,Peer-to-peer payments,1753,10383413.246670496,Lakshadweep
234,2019,4,Merchant payments,188,211413.62244321496,Lakshadweep
235,2019,4,Financial Services,2,34.39721181625656,Lakshadweep
236,2019,4,Others,21,56896.23813384895,Lakshadweep
