,Year,Quater,registeredUsers,appOpenings,state_name
454,2020,3,5582300,64309022,Kerala
455,2020,4,6387169,91415273,Kerala
456,2018,1,784184,0,Kerala
457,2018,2,1066587,0,Kerala
458,2018,3,1347598,0,Kerala
459,2018,4,1757326,0,Kerala
460,2022,1,5916961,448503438,Chhattisgarh
461,2022,2,6238349,501411120,Chhattisgarh
462,2022,3,6562237,543206487,Chhattisgarh
463,2022,4,6846822,354976814,Chhattisgarh
464,2019,1,1908898,0,Chhattisgarh
465,2019,2,2191066,13206373,Chhattisgarh
466,2019,3,2435058,46362341,Chhattisgarh
467,2019,4,2725900,57278977,Chhattisgarh
468,2021,1,4514551,124648704,Chhattisgarh
469,2021,2,4837055,205784717,Chhattisgarh
470,2021,3,5206084,276486076,Chhattisgarh
471,2021,4,5565481,251752583,Chhattisgarh
472,2020,1,3016487,64224101,Chhattisgarh
473,2020,2,3401658,68493384,Chhattisgarh
474,2020,3,3799386,86918606,Chhattisgarh
475,2020,4,4190601,109900467,Chhattisgarh
476,2018,1,679263,0,Chhattisgarh
477,2018,2,950675,0,Chhattisgarh
478,2018,3,1217792,0,Chhattisgarh
479,2018,4,1579998,0,Chhattisgarh
480,2022,1,582124,19322963,Tripura
481,2022,2,615782,21343111,Tripura
482,2022,3,649143,24123569,Tripura
483,2022,4,678741,16107610,Tripura
484,2019,1,183254,0,Tripura
485,2019,2,217644,953627,Tripura
486,2019,3,245456,3350991,Tripura
487,2019,4,272298,3610807,Tripura
488,2021,1,439636,6009660,Tripura
489,2021,2,472153,9500881,Tripura
490,2021,3,509929,12279146,Tripura
491,2021,4,546292,10728702,Tripura
492,2020,1,299962,4063223,Tripura
493,2020,2,336666,4443221,Tripura
494,2020,3,376731,5777908,Tripura
495,2020,4,409110,6017249,Tripura
496,2018,1,55157,0,Tripura
497,2018,2,83369,0,Tripura
498,2018,3,116874,0,Tripura
499,2018,4,153265,0,Tripura
500,2022,1,115295,14886657,Mizoram
501,2022,2,121535,16646550,Mizoram
502,2022,3,127735,15557163,Mizoram
503,2022,4,132870,3144551,Mizoram
504,2019,1,23670,0,Mizoram
505,2019,2,28696,133025,Mizoram
506,2019,3,34134,457834,Mizoram
507,2019,4,39809,529168,Mizoram
508,2021,1,85750,1193214,Mizoram
509,2021,2,92552,4014597,Mizoram
510,2021,3,100647,5385718,Mizoram
511,2021,4,108405,2094118,Mizoram
512,2020,1,46499,644683,Mizoram
513,2020,2,55574,739308,Mizoram
514,2020,3,68315,924865,Mizoram
515,2020,4,78731,1096182,Mizoram
516,2018,1,7593,0,Mizoram
517,2018,2,10422,0,Mizoram
518,2018,3,14502,0,Mizoram
519,2018,4,19365,0,Mizoram
520,2022,1,2143483,77278278,Himachal Pradesh
521,2022,2,2264407,102488683,Himachal Pradesh
522,2022,3,2381576,108832538,Himachal Pradesh
523,2022,4,2483076,72355717,Himachal Pradesh
524,2019,1,653205,0,Himachal Pradesh
525,2019,2,772603,3321711,Himachal Pradesh
526,2019,3,876184,10720741,Himachal Pradesh
527,2019,4,985945,12637904,Himachal Pradesh
528,2021,1,1622951,24228094,Himachal Pradesh
529,2021,2,1743151,43269977,Himachal Pradesh
530,2021,3,1880626,52970288,Himachal Pradesh
531,2021,4,2013747,47670982,Himachal Pradesh
532,2020,1,1106025,14640104,Himachal Pradesh
533,2020,2,1249867,16125580,Himachal Pradesh
534,2020,3,1378634,18411750,Himachal Pradesh
535,2020,4,1508766,22001148,Himachal Pradesh
536,2018,1,227373,0,Himachal Pradesh
537,2018,2,315299,0,Himachal Pradesh
538,2018,3,407634,0,Himachal Pradesh
539,2018,4,526343,0,Himachal Pradesh
540,2022,1,424570,3910792,Dadra and Nagar Haveli
541,2022,2,449016,3886292,Dadra and Nagar Haveli
542,2022,3,474807,3837881,Dadra and Nagar Haveli
543,2022,4,500125,24066770,Dadra and Nagar Haveli
544,2019,1,140532,0,Dadra and Nagar Haveli
545,2019,2,158580,860686,Dadra and Nagar Haveli
546,2019,3,176929,3126189,Dadra and Nagar Haveli
547,2019,4,197598,3770543,Dadra and Nagar Haveli
548,2021,1,321396,7302462,Dadra and Nagar Haveli
549,2021,2,344994,5062983,Dadra and Nagar Haveli
550,2021,3,371874,7162734,Dadra and Nagar Haveli
551,2021,4,398963,15009455,Dadra and Nagar Haveli
552,2020,1,218496,4195122,Dadra and Nagar Haveli
553,2020,2,244814,4505127,Dadra and Nagar Haveli
554,2020,3,267946,4421499,Dadra and Nagar Haveli
555,2020,4,296493,6196436,Dadra and Nagar Haveli
556,2018,1,53258,0,Dadra and Nagar Haveli
557,2018,2,71458,0,Dadra and Nagar Haveli
558,2018,3,92107,0,Dadra and Nagar Haveli
559,2018,4,116511,0,Dadra and Nagar Haveli
560,2022,1,92492,8902080,Jammu and Kashmir
561,2022,2,97517,14768129,Jammu and Kashmir
562,2022,3,102299,19734781,Jammu and Kashmir
563,2022,4,106337,3832339,Jammu and Kashmir
564,2019,1,29649,0,Jammu and Kashmir
565,2019,2,35516,157317,Jammu and Kashmir
566,2019,3,39173,503126,Jammu and Kashmir
567,2019,4,43108,470440,Jammu and Kashmir
568,2021,1,69919,1184204,Jammu and Kashmir
569,2021,2,75048,4391632,Jammu and Kashmir
570,2021,3,81210,7099550,Jammu and Kashmir
571,2021,4,87057,2665203,Jammu and Kashmir
572,2020,1,47790,590484,Jammu and Kashmir
573,2020,2,53034,695673,Jammu and Kashmir
574,2020,3,58401,1015680,Jammu and Kashmir
575,2020,4,64853,1232757,Jammu and Kashmir
576,2018,1,8784,0,Jammu and Kashmir
577,2018,2,12918,0,Jammu and Kashmir
578,2018,3,17749,0,Jammu and Kashmir
579,2018,4,23883,0,Jammu and Kashmir
580,2022,1,4492589,281642453,Assam
581,2022,2,4755787,339929089,Assam
582,2022,3,5016910,410760707,Assam
583,2022,4,5247776,248781157,Assam
584,2019,1,1259085,0,Assam
585,2019,2,1500128,7350326,Assam
586,2019,3,1731523,25393673,Assam
587,2019,4,1941220,26599449,Assam
588,2021,1,3358448,56752364,Assam
589,2021,2,3617056,102003890,Assam
590,2021,3,3918480,135288631,Assam
591,2021,4,4209591,130600435,Assam
592,2020,1,2185938,33097892,Assam
593,2020,2,2550883,39304924,Assam
594,2020,3,2830011,41875278,Assam
595,2020,4,3106153,49321814,Assam
596,2018,1,385237,0,Assam
597,2018,2,571046,0,Assam
598,2018,3,784802,0,Assam
599,2018,4,1039221,0,Assam
600,2022,1,255839,23634106,Meghalaya
601,2022,2,269943,27458992,Meghalaya
602,2022,3,283487,32596135,Meghalaya
603,2022,4,295322,10105924,Meghalaya
604,2019,1,61487,0,Meghalaya
605,2019,2,74746,395764,Meghalaya
606,2019,3,87395,1387814,Meghalaya
607,2019,4,100030,1490542,Meghalaya
608,2021,1,190869,2939026,Meghalaya
609,2021,2,205686,7290804,Meghalaya
610,2021,3,223065,9952956,Meghalaya
611,2021,4,240268,6048594,Meghalaya
612,2020,1,113814,1716211,Meghalaya
613,2020,2,136211,2205253,Meghalaya
614,2020,3,157741,2384534,Meghalaya
615,2020,4,176447,2745917,Meghalaya
616,2018,1,18513,0,Meghalaya
617,2018,2,26618,0,Meghalaya
618,2018,3,37281,0,Meghalaya
619,2018,4,49634,0,Meghalaya
620,2022,1,3674829,115224382,Uttaranchal
621,2022,2,3877056,156465685,Uttaranchal
622,2022,3,4081976,152803850,Uttaranchal
623,2022,4,4272049,160685547,Uttaranchal
624,2019,1,1224955,0,Uttaranchal
625,2019,2,1414339,7454279,Uttaranchal
626,2019,3,1585859,24660988,Uttaranchal
627,2019,4,1752677,28853867,Uttaranchal
628,2021,1,2802122,59282260,Uttaranchal
629,2021,2,3004040,78380036,Uttaranchal
630,2021,3,3233509,90886530,Uttaranchal
631,2021,4,3460015,110928354,Uttaranchal
632,2020,1,1943606,32631265,Uttaranchal
633,2020,2,2148567,31074793,Uttaranchal
634,2020,3,2365438,40377348,Uttaranchal
635,2020,4,2596244,52564888,Uttaranchal
636,2018,1,483043,0,Uttaranchal
637,2018,2,649142,0,Uttaranchal
638,2018,3,810612,0,Uttaranchal
639,2018,4,1012103,0,Uttaranchal
640,2022,1,448051,3938657,Puducherry
